year,fr,pcs,match
2018,Trofeo Playa de Palma,Trofeo Serra de Tramuntana,FALSE
2016,EuroEyes Cyclassics,Brussels Cycling Classic,FALSE
2017,EuroEyes Cyclassics,Brussels Cycling Classic,FALSE
2019,EuroEyes Cyclassics,Brussels Cycling Classic,FALSE
2019,Japan Cup Road Race,Cadel Evans Great Ocean Road Race,FALSE
2019,Grote Prijs Jean Pierre Monsere,Grote Prijs Jef Scherens - Rondom Leuven,FALSE
2018,Vuelta Ciclista a la Provincia de San Juan,Vuelta Ciclista a la Region de Murcia Costa Calida,FALSE
2017,Vuelta Ciclista a la Provincia de San Juan,Vuelta Ciclista a la Region de Murcia 'Costa Calida',FALSE
2018,Circuit de Wallonie,VOO-Tour de Wallonie,FALSE
2017,Vuelta a Asturias,Vuelta a Burgos,FALSE
2019,Tour Cycliste International La Provence,Tour Cycliste International du Haut Var,FALSE
2017,Tour of Slovaquie,Tour of Slovenia,FALSE
2018,Tour of Slovaquie,Tour of Slovenia,FALSE
2020,Vuelta Ciclista a la Provincia de San Juan,Vuelta Ciclista a la Region de Murcia,FALSE
2020,Kuurne-Bruxelles-Kuurne ,"Trofeo Felanitx, Ses Salines, Campos, Porreres",FALSE
2020,Royal Bernard Drome Classic,Faun-Ardeche Classic,FALSE
2018,Colombia Oro y Paz,Tour of Colombia,TRUE
2017,Binche - Chimay - Binche (Memorial Frank Vandenbroucke),Binche - Chimay - Binche,TRUE
2017,Faun Environnement - Classic de l'Ardeche Rhone Crussol,Classic Sud Ardeche - Souvenir Francis Delpech,TRUE
2018,Nokere Koerse - Danilith Classic,Danilith Nokere Koerse,TRUE
2017,UCI Road World Championships - ITT (Men Elite),World Championships ITT,TRUE
2018,UCI Road World Championships - ITT (Men Elite),World Championships ITT,TRUE
2017,Vuelta a Asturias,Vuelta Asturias Julio Alvarez Mendo,TRUE
2020,Vuelta Ciclista a la Provincia de San Juan,Vuelta a San Juan Internacional,TRUE
2020,Trofeo Pollenca - Port d'Andratx,Pollenca - Andratx,TRUE
2017,Faun Environnement - Classic de l'Ardeche Rhone Crussol,Classic Sud Ardeche - Souvenir Francis Delpech,FALSE
2017,Tour de l'Avenir,Tour de l'Ain,FALSE
2017,Euroeyes Cyclassics,Brussels Cycling Classic,FALSE
2017,UCI Road World Championships - ITT (Men Elite),World Championships WE - Road Race,FALSE
2017,Duo Normand,La Poly Normande,FALSE
2018,Le Tour de Bretagne,Le Tour de Langkawi,FALSE
2018,Ronde van Overijssel,Ronde van Drenthe,FALSE
2018,Tour Alsace,Tour de France,FALSE
2018,Tour de l'Avenir,Tour de l'Ain,FALSE
2018,Duo Normand,La Poly Normande,FALSE
